time,value
0.000000,0.000000
0.010628,0.000000
0.010628,5.730640
0.060118,5.660682
0.060118,5.736218
0.081388,5.685300
0.081388,5.738622
0.081388,5.760883
0.088852,5.730256
0.088852,5.825408
0.088852,5.755162
0.088852,5.817138
0.133567,5.864450
0.133567,5.832957
0.133567,5.936668
0.141982,5.882144
0.141982,5.945611
0.164160,5.987682
0.164160,5.927148
0.197140,5.995134
0.197140,5.969892
0.197140,5.886760
0.217897,5.926619
0.217897,5.802281
0.217897,5.787088
0.217897,5.773000
0.220800,5.703715
0.220800,5.773913
0.246361,5.689868
0.246361,5.710494
0.269182,5.711023
0.271207,5.638036
0.271207,5.681598
0.294227,5.588657
0.294227,5.627651
0.312157,5.652364
0.312157,5.600581
0.348031,5.683713
0.348031,5.635536
0.348031,5.674434
0.348031,5.695060
0.348031,5.667510
0.348031,5.695205
0.348031,5.728332
0.348031,5.658471
0.348031,5.742180
0.397881,5.670106
0.397881,5.697945
0.409690,5.704869
0.409690,5.654384
0.409690,5.727852
0.409690,5.633420
0.442639,5.674241
0.487545,5.662317
0.487545,5.604524
0.487545,5.666404
0.487545,5.607216
0.487545,5.645296
0.488485,5.642123
0.488485,5.604283
0.488485,5.667510
0.488485,5.590821
0.488485,5.627603
0.525663,5.656451
0.525663,5.579377
0.525663,5.615534
0.525663,5.619092
0.529586,5.583993
0.529586,5.659577
0.537910,5.582599
0.575964,5.615438
0.575964,5.622025
0.575964,5.591398
0.575964,5.667414
0.607716,5.597504
0.607716,5.634526
0.625497,5.627939
0.625497,5.583993
0.631504,5.660971
0.657645,5.599187
0.657645,5.647172
0.674700,5.629862
0.674700,5.592936
0.674700,5.667750
0.674700,5.634574
0.702677,5.613419
0.727728,5.681886
0.727728,5.610967
0.727728,5.648518
0.727728,5.641979
0.757393,5.605630
0.757393,5.677030
0.793568,5.615679
0.793568,5.649191
0.793568,5.638854
0.793568,5.620919
0.793568,5.690156
0.795563,5.636738
0.795563,5.695157
0.795563,5.665731
0.795563,5.630920
0.795563,5.706888
0.863296,5.635584
0.863296,5.675155
0.863296,5.670491
0.863296,5.633853
0.867063,5.662365
0.867063,5.663135
0.891746,5.626353
0.891746,5.690541
0.891746,5.635728
0.935697,5.670731
0.935697,5.668568
0.935697,5.634526
0.935697,5.692224
0.936780,5.623948
0.936780,5.677126
0.936780,5.655970
0.936780,5.667510
0.936780,5.774202
0.972878,5.671789
0.972878,5.759633
0.972878,5.802618
0.972878,5.744151
1.014236,5.716889
1.014236,5.631690
1.014236,5.616736
1.015232,5.673616
1.015232,5.585339
1.058346,5.650393
1.058346,5.627218
1.059344,5.619092
1.059344,5.664865
1.059344,5.315172
1.096952,5.397679
1.096952,6.680290
1.096952,8.714745
1.096952,9.098095
1.122126,6.407959
1.122126,5.638517
1.140207,5.728813
1.140207,5.744969
1.140207,5.777760
1.140207,5.651066
1.140207,5.683136
1.140207,5.669962
1.140207,5.650008
1.183630,5.694003
1.183630,5.684050
1.183630,5.668039
1.202173,5.728525
1.202173,5.657124
1.205724,5.714533
1.205724,5.703811
1.234499,5.680925
1.234499,5.746651
1.261295,5.676453
1.261295,5.715879
1.261295,5.693426
1.262381,5.640921
1.262381,5.676453
1.283969,5.572646
1.283969,5.571973
1.302349,5.522738
1.302349,5.468983
1.304345,5.510285
1.324465,5.440375
1.324465,5.505188
1.343996,5.533893
1.343996,5.522738
1.343996,5.620246
1.343996,5.621785
1.384992,5.613996
1.384992,5.677751
1.384992,5.603226
1.385941,5.645873
1.385941,5.624670
1.426446,5.606976
1.426446,5.666596
1.427959,5.602216
1.427959,5.656884
1.451144,5.644046
1.470144,5.627651
1.470144,5.689483
1.470144,5.620198
1.470144,5.663279
1.473121,5.663519
1.473121,5.625150
1.512648,5.696118
1.512648,5.601014
1.512648,5.612649
1.512648,5.672655
1.512648,5.590676
1.514230,5.634094
1.514230,5.609668
1.556865,5.566636
1.556865,5.617650
1.560655,5.553942
1.560655,5.593898
1.561518,5.569040
1.604949,5.559039
1.605947,5.608322
1.605947,5.540335
1.605947,5.591398
1.609612,5.565530
1.609612,5.566492
1.610625,5.645585
1.655571,5.584570
1.655571,5.620487
1.656565,5.571059
1.656565,5.565193
1.656565,5.596302
1.656565,5.580868
1.661666,5.559520
1.702947,5.624766
1.702947,5.553317
1.765931,5.612697
1.765931,5.578319
1.765931,5.587743
1.765931,5.633613
1.765931,5.562068
1.765931,5.626978
1.765931,5.577454
1.767938,5.570963
1.768912,5.641402
1.816327,5.588897
1.816327,5.631882
1.816327,5.617506
1.816327,5.575771
1.855125,5.629382
1.855125,5.574858
1.855125,5.611880
1.855125,5.636257
1.855125,5.594138
1.855125,5.649576
1.855125,5.607986
1.856120,5.587311
1.856120,5.650297
1.877205,5.568799
1.895391,5.610678
1.895391,5.590051
1.896991,5.578896
1.896991,5.614476
1.934043,5.558558
1.934043,5.644575
1.934043,5.635488
1.934043,5.657894
1.934043,5.785837
1.964862,5.766701
1.964862,5.823966
1.983187,5.773384
1.983187,5.656403
1.983187,5.630151
1.983187,5.584233
1.983187,5.583224
2.030760,5.634382
2.030760,5.538893
2.030760,5.596206
2.030760,5.598177
2.030760,5.585724
2.030760,5.487687
2.075428,5.179343
2.075428,5.721793
2.075428,7.728650
2.075428,8.847593
2.075428,7.088643
2.122651,5.776462
2.122651,5.609428
2.128163,5.654961
2.128163,5.675059
2.129180,5.730352
2.168761,5.624670
2.168761,5.694291
2.171869,5.682655
2.171869,5.677511
2.173087,5.718476
2.173087,5.715206
2.216685,5.719005
2.216685,5.780260
2.216685,5.714437
2.216685,5.777664
2.216685,5.761364
2.216685,5.781174
2.216685,5.860075
2.220605,5.784395
2.221302,5.854305
2.255762,5.810647
2.282052,5.811994
2.282052,5.901232
2.282052,5.794925
2.282052,5.815696
2.282052,5.753767
2.282052,5.741507
2.322814,5.761508
2.322814,5.678665
2.322814,5.745594
2.323895,5.766317
2.323895,5.695157
2.359772,5.734823
2.359772,5.701503
2.401510,5.691406
2.401510,5.718235
2.401510,5.626593
2.401510,5.676982
2.401510,5.643421
2.401510,5.644527
2.401510,5.732035
2.402034,5.664577
2.402034,5.744295
2.430936,5.725448
2.448389,5.722755
2.448389,5.778818
2.477103,5.705831
2.477103,5.770596
2.495777,5.736987
2.495777,5.713524
2.495777,5.773769
2.495777,5.734583
2.495777,5.716456
2.539524,5.766172
2.539524,5.695157
2.539524,5.730400
2.539524,5.722467
2.540557,5.678905
2.540557,5.749344
2.545648,5.707610
2.588193,5.757422
2.588193,5.778241
2.588193,5.794300
2.588193,5.918974
2.588193,5.936908
2.588193,6.027156
2.635722,5.963209
2.635722,5.818436
2.635722,5.804541
2.635722,5.741362
2.635722,5.735545
2.635722,5.755450
2.682452,5.719149
2.682452,5.722899
2.682452,5.737660
2.682452,5.704436
2.682452,5.734295
2.682452,5.444654
2.690672,5.283342
2.691680,6.302757
2.727609,8.397410
2.727609,8.474676
2.739376,6.494312
2.744163,5.598465
2.770348,5.735016
2.771363,5.775404
2.771363,5.866277
2.792441,5.836611
2.792441,5.798531
2.794538,5.911281
2.794538,5.851660
2.794538,5.957391
2.835724,5.971575
2.835724,5.930273
2.835724,5.970565
2.835724,6.004991
2.835724,5.925273
2.835724,6.082402
2.872660,5.962872
2.872660,6.032926
2.872660,6.090623
2.878145,5.982441
